id,label,segmentColors
,label,string
,Label from FreeSurfer,Look-up table from FreeSurfer
0,Unknown,#000000
1,Left-Cerebral-Exterior,#4682B4
2,Left-Cerebral-White-Matter,#F5F5F5
3,Left-Cerebral-Cortex,#CD3E4E
4,Left-Lateral-Ventricle,#781286
5,Left-Inf-Lat-Vent,#C43AFA
6,Left-Cerebellum-Exterior,#009400
7,Left-Cerebellum-White-Matter,#DCF8A4
8,Left-Cerebellum-Cortex,#E69422
9,Left-Thalamus-unused,#00760E
10,Left-Thalamus,#00760E
11,Left-Caudate,#7ABADC
12,Left-Putamen,#EC0DB0
13,Left-Pallidum,#0C30FF
14,3rd-Ventricle,#CCB68E
15,4th-Ventricle,#2ACCA4
16,Brain-Stem,#779FB0
17,Left-Hippocampus,#DCD814
18,Left-Amygdala,#67FFFF
19,Left-Insula,#50C462
20,Left-Operculum,#3C3AD2
21,Line-1,#3C3AD2
22,Line-2,#3C3AD2
23,Line-3,#3C3AD2
24,CSF,#3C3C3C
25,Left-Lesion,#FFA500
26,Left-Accumbens-area,#FFA500
27,Left-Substancia-Nigra,#00FF7F
28,Left-VentralDC,#912A2A
29,Left-undetermined,#87CEEB
30,Left-vessel,#A020F0
31,Left-choroid-plexus,#00C8C8
32,Left-F3orb,#643264
33,Left-aOg,#7A8732
34,Left-WMCrowns,#E1E1FF
35,Left-mOg,#333287
36,Left-pOg,#4A9B3C
37,Left-Stellate,#783E2B
38,Left-Porg,#4A9B3C
39,Left-Aorg,#7A8732
40,Right-Cerebral-Exterior,#4682B4
41,Right-Cerebral-White-Matter,#F5F5F5
42,Right-Cerebral-Cortex,#CD3E4E
43,Right-Lateral-Ventricle,#781286
44,Right-Inf-Lat-Vent,#C43AFA
45,Right-Cerebellum-Exterior,#009400
46,Right-Cerebellum-White-Matter,#DCF8A4
47,Right-Cerebellum-Cortex,#E69422
48,Right-Thalamus-unused,#00760E
49,Right-Thalamus,#00760E
50,Right-Caudate,#7ABADC
51,Right-Putamen,#EC0DB0
52,Right-Pallidum,#0D30FF
53,Right-Hippocampus,#DCD814
54,Right-Amygdala,#67FFFF
55,Right-Insula,#50C462
56,Right-Operculum,#3C3AD2
57,Right-Lesion,#FFA500
58,Right-Accumbens-area,#FFA500
59,Right-Substancia-Nigra,#00FF7F
60,Right-VentralDC,#A52A2A
61,Right-undetermined,#87CEEB
62,Right-vessel,#A020F0
63,Right-choroid-plexus,#00C8DD
64,Right-F3orb,#643264
65,Right-lOg,#87324A
66,Right-WMCrowns,#D7D7FF
67,Right-mOg,#333287
68,Right-pOg,#4A9B3C
69,Right-Stellate,#783E2B
70,Right-Porg,#4A9B3C
71,Right-Aorg,#7A8732
72,5th-Ventricle,#78BE96
73,Left-Interior,#7A8732
74,Right-Interior,#7A8732
75,Left-Locus-Coeruleus,#5B61FF
76,Right-Locus-Coeruleus,#0007DA
77,WM-hypointensities,#C846FF
78,Left-WM-hypointensities,#FF940A
79,Right-WM-hypointensities,#FF940A
80,non-WM-hypointensities,#A46CE2
81,Left-non-WM-hypointensities,#A46CE2
82,Right-non-WM-hypointensities,#A46CE2
83,Left-F1,#FFDAB9
84,Right-F1,#FFDAB9
85,Optic-Chiasm,#EAA91E
192,Corpus_Callosum,#AAFFFF
86,Left_future_WMSA,#C878FF
87,Right_future_WMSA,#C879FF
88,future_WMSA,#C87AFF
96,Left-Amygdala-Anterior,#CD0A7D
97,Right-Amygdala-Anterior,#CD0A7D
98,Dura,#A020F0
99,Lesion,#FFA500
100,Left-wm-intensity-abnormality,#7C8CB2
101,Left-caudate-intensity-abnormality,#7D8CB2
102,Left-putamen-intensity-abnormality,#7E8CB2
103,Left-accumbens-intensity-abnormality,#7F8CB2
104,Left-pallidum-intensity-abnormality,#7C8DB2
105,Left-amygdala-intensity-abnormality,#7C8EB2
106,Left-hippocampus-intensity-abnormality,#7C8FB2
107,Left-thalamus-intensity-abnormality,#7C90B2
108,Left-VDC-intensity-abnormality,#7C8CB3
109,Right-wm-intensity-abnormality,#7C8CB2
110,Right-caudate-intensity-abnormality,#7D8CB2
111,Right-putamen-intensity-abnormality,#7E8CB2
112,Right-accumbens-intensity-abnormality,#7F8CB2
113,Right-pallidum-intensity-abnormality,#7C8DB2
114,Right-amygdala-intensity-abnormality,#7C8EB2
115,Right-hippocampus-intensity-abnormality,#7C8FB2
116,Right-thalamus-intensity-abnormality,#7C90B2
117,Right-VDC-intensity-abnormality,#7C8CB3
118,Epidermis,#FF1493
119,Conn-Tissue,#CDB38B
120,SC-Fat-Muscle,#EEEED1
121,Cranium,#C8C8C8
122,CSF-SA,#4AFF4A
123,Muscle,#EE0000
124,Ear,#00008B
125,Adipose,#ADFF2F
126,Spinal-Cord,#85CBE5
127,Soft-Tissue,#1AED39
128,Nerve,#228B22
129,Bone,#1E90FF
130,AirCavity,#C4A080
131,Orbital-Fat,#EE3B3B
132,Tongue,#DD27C8
133,Nasal-Structures,#EEAEEE
134,Globe,#FF0000
135,Teeth,#483D8B
136,Left-Caudate-Putamen,#152784
137,Right-Caudate-Putamen,#152784
138,Left-Claustrum,#418714
139,Right-Claustrum,#418714
140,Cornea,#8604A0
142,Diploe,#DDE244
143,Vitreous-Humor,#FFFFFE
144,Lens,#34D1E2
145,Aqueous-Humor,#EFA0DF
146,Outer-Table,#4682B4
147,Inner-Table,#4682B5
148,Periosteum,#8B795E
149,Endosteum,#E0E0E0
150,R-C-S,#FF0000
151,Iris,#CDCD00
152,SC-Adipose-Muscle,#EEEED1
153,SC-Tissue,#8B795E
154,Orbital-Adipose,#EE3B3B
155,Left-IntCapsule-Ant,#EE3B3B
156,Right-IntCapsule-Ant,#EE3B3B
157,Left-IntCapsule-Pos,#3E0ACD
158,Right-IntCapsule-Pos,#3E0ACD
159,Left-Cerebral-WM-unmyelinated,#00760E
160,Right-Cerebral-WM-unmyelinated,#00760E
161,Left-Cerebral-WM-myelinated,#DCD815
162,Right-Cerebral-WM-myelinated,#DCD815
163,Left-Subcortical-Gray-Matter,#7ABADC
164,Right-Subcortical-Gray-Matter,#7ABADC
165,Skull,#787878
166,Posterior-fossa,#0E30FF
167,Scalp,#A62A2A
168,Hematoma,#791286
169,Left-Basal-Ganglia,#EC0D7F
176,Right-Basal-Ganglia,#EC0D7E
170,brainstem,#779FB0
171,DCG,#7700B0
172,Vermis,#7764B0
173,Midbrain,#F2684C
174,Pons,#CEC33A
175,Medulla,#779FB0
177,Vermis-White-Matter,#7732B0
178,SCP,#8EB600
179,Floculus,#1364B0
180,Left-Cortical-Dysplasia,#493D8B
181,Right-Cortical-Dysplasia,#493E8B
182,CblumNodulus,#0A64B0
183,Left-Vermis-Area,#7764B0
184,Right-Vermis-Area,#6477B0
193,Left-hippocampal_fissure,#00C4FF
194,Left-CADG-head,#FFA4A4
195,Left-subiculum,#C4C400
196,Left-fimbria,#0064FF
197,Right-hippocampal_fissure,#80C4A4
198,Right-CADG-head,#007E4B
199,Right-subiculum,#806040
200,Right-fimbria,#003280
201,alveus,#FFCC99
202,perforant_pathway,#FF8080
203,parasubiculum,#AFAF4B
204,presubiculum,#400040
205,subiculum,#0000FF
206,CA1,#FF0000
207,CA2,#8080FF
208,CA3,#008000
209,CA4,#C4A080
210,GC-DG,#20C8FF
211,HATA,#80FF80
212,fimbria,#CC99CC
213,lateral_ventricle,#791188
214,molecular_layer_HP,#800000
215,hippocampal_fissure,#8020FF
216,entorhinal_cortex,#FFCC66
217,molecular_layer_subiculum,#808080
218,Amygdala,#68FFFF
219,Cerebral_White_Matter,#00E200
220,Cerebral_Cortex,#CD3F4E
221,Inf_Lat_Vent,#C53AFA
222,Perirhinal,#2196FA
223,Cerebral_White_Matter_Edge,#E20000
224,Background,#646464
225,Ectorhinal,#C596FA
226,HP_tail,#AAAAFF
227,Polymorphic-Layer,#80FF80
228,Intracellular-Space,#CC99CC
229,molecular_layer_DG,#A80000
230,Prosubiculum,#FC8408
231,HP_body,#00FF00
232,HP_head,#FF0000
233,presubiculum-head,#200020
234,presubiculum-body,#400040
235,subiculum-head,#0000AF
236,subiculum-body,#0000FF
237,CA1-head,#AF4B4B
238,CA1-body,#FF0000
239,CA3-head,#005000
240,CA3-body,#008000
241,CA4-head,#785A32
242,CA4-body,#C4A080
243,GC-ML-DG-head,#4B7DAF
244,GC-ML-DG-body,#20C8FF
245,molecular_layer_HP-head,#641919
246,molecular_layer_HP-body,#800000
247,FreezeSurface,#0A6464
248,Gyrus_Fasciolaris,#005D00
249,Fasciola_Cinerea,#50FFEB
250,Fornix,#FF2AFA
251,CC_Posterior,#000040
252,CC_Mid_Posterior,#000070
253,CC_Central,#0000A0
254,CC_Mid_Anterior,#0000D0
255,CC_Anterior,#0000FF
256,Voxel-Unchanged,#000000
257,CSF-ExtraCerebral,#3C3C3C
258,Head-ExtraCerebral,#9696C8
259,Eye-Fluid,#3C3C3C
260,BoneOrAir,#779FB0
261,PossibleFluid,#781286
262,Sinus,#55557F
263,Left-Eustachian,#779FB0
264,Right-Eustachian,#779FB0
265,Left-Eyeball,#3C3C3C
266,Right-Eyeball,#3C3C3C
267,Pons-Belly-Area,#CEC33A
270,ctx-lh-infragranular,#CD464E
271,ctx-lh-layer1,#D2504E
272,ctx-lh-layer2,#D75A4E
273,ctx-lh-layer3,#DC644E
274,ctx-lh-layer4,#E16E4E
275,ctx-lh-layer5,#E6784E
276,ctx-lh-layer6,#EB874E
277,ctx-lh-supragranular,#F08C4E
278,SubiculumU,#1477A5
279,CA1U,#FF6C6C
280,CA2U,#A782C7
281,CA3U,#00CA00
331,Aorta,#FF0000
332,Left-Common-IliacA,#FF5000
333,Right-Common-IliacA,#FFA000
334,Left-External-IliacA,#FFFF00
335,Right-External-IliacA,#00FF00
336,Left-Internal-IliacA,#FF00A0
337,Right-Internal-IliacA,#FF00FF
338,Left-Lateral-SacralA,#FF3250
339,Right-Lateral-SacralA,#50FF32
340,Left-ObturatorA,#A0FF32
341,Right-ObturatorA,#A0C8FF
342,Left-Internal-PudendalA,#00FFA0
343,Right-Internal-PudendalA,#0000FF
344,Left-UmbilicalA,#5032FF
345,Right-UmbilicalA,#A000FF
346,Left-Inf-RectalA,#FFD200
347,Right-Inf-RectalA,#00A0FF
348,Left-Common-IliacV,#FFC850
349,Right-Common-IliacV,#FFC8A0
350,Left-External-IliacV,#FF50C8
351,Right-External-IliacV,#FFA0C8
352,Left-Internal-IliacV,#1EFF50
353,Right-Internal-IliacV,#50C8FF
354,Left-ObturatorV,#50FFC8
355,Right-ObturatorV,#C3FFC8
356,Left-Internal-PudendalV,#78C814
